,rank,discipline,phd,service,sex,salary
0,Prof,B,56,49,Male,186960
1,Prof,A,12,6,Male,93000
2,Prof,A,23,20,Male,110515
3,Prof,A,40,31,Male,131205
4,Prof,B,20,18,Male,104800
5,Prof,A,20,20,Male,122400
7,Prof,A,18,18,Male,126300
8,Prof,A,29,19,Male,94350
9,Prof,A,51,51,Male,57800
10,Prof,B,39,33,Male,128250
11,Prof,B,23,23,Male,134778
13,Prof,B,35,33,Male,162200
14,Prof,B,25,19,Male,153750
15,Prof,B,17,3,Male,150480
18,Prof,A,19,7,Male,107300
19,Prof,A,29,27,Male,150500
21,Prof,A,33,30,Male,103106
24,Prof,A,30,23,Male,91100
25,Prof,B,35,31,Male,99418
26,Prof,A,38,19,Male,148750
27,Prof,A,45,43,Male,155865
29,Prof,B,21,20,Male,123683
31,Prof,B,22,21,Male,155750
32,Prof,A,27,19,Male,103275
33,Prof,B,18,18,Male,120000
35,Prof,B,28,23,Male,126933
36,Prof,B,45,45,Male,146856
37,Prof,A,20,8,Male,102000
39,Prof,B,18,18,Female,129000
40,Prof,A,39,36,Female,137000
44,Prof,B,23,19,Female,151768
45,Prof,B,25,25,Female,140096
48,Prof,B,17,17,Female,111512
49,Prof,B,17,18,Female,122960
51,Prof,B,20,14,Female,127512
52,Prof,A,12,0,Female,105000
58,Prof,B,36,26,Female,144651
63,Prof,A,29,27,Female,91000
65,Prof,A,36,19,Female,117555
67,Prof,A,17,11,Female,90450
69,Prof,A,28,7,Female,116450
72,Prof,B,24,15,Female,161101
73,Prof,B,18,10,Female,105450
75,Prof,B,17,17,Female,124312
76,Prof,A,28,14,Female,109954
77,Prof,A,23,15,Female,109646
